Trade History:
Action | Amount (BTC) | Price | Remaining Balance | Time | Profit/Loss
SHORT | 0.0003 | $61415.07 | $1020.00 | 2024-08-02 00:00:00 | N/A
SHORT | 0.0003 | $60680.09 | $1040.40 | 2024-08-03 00:00:00 | N/A
SHORT | 0.0004 | $58116.98 | $1061.21 | 2024-08-04 00:00:00 | N/A
BUY | 0.0003 | $61710.14 | $1039.98 | 2024-08-08 00:00:00 | N/A
BUY | 0.0003 | $60880.11 | $1019.18 | 2024-08-09 00:00:00 | N/A
BUY | 0.0003 | $60945.81 | $998.80 | 2024-08-10 00:00:00 | N/A
BUY | 0.0003 | $58719.48 | $978.82 | 2024-08-11 00:00:00 | N/A
BUY | 0.0003 | $59354.52 | $959.25 | 2024-08-12 00:00:00 | N/A
BUY | 0.0003 | $60609.57 | $940.06 | 2024-08-13 00:00:00 | N/A
BUY | 0.0003 | $58737.27 | $921.26 | 2024-08-14 00:00:00 | N/A
BUY | 0.0003 | $57560.10 | $902.84 | 2024-08-15 00:00:00 | N/A
BUY | 0.0003 | $58894.11 | $884.78 | 2024-08-16 00:00:00 | N/A
BUY | 0.0003 | $59478.97 | $867.08 | 2024-08-17 00:00:00 | N/A
BUY | 0.0003 | $58483.96 | $849.74 | 2024-08-18 00:00:00 | N/A
BUY | 0.0003 | $59493.45 | $832.75 | 2024-08-19 00:00:00 | N/A
BUY | 0.0003 | $59012.79 | $816.09 | 2024-08-20 00:00:00 | N/A
BUY | 0.0003 | $61175.19 | $799.77 | 2024-08-21 00:00:00 | N/A
BUY | 0.0003 | $60381.91 | $783.78 | 2024-08-22 00:00:00 | N/A
BUY | 0.0002 | $64094.36 | $768.10 | 2024-08-23 00:00:00 | N/A
BUY | 0.0002 | $64178.99 | $752.74 | 2024-08-24 00:00:00 | N/A
BUY | 0.0002 | $64333.54 | $737.68 | 2024-08-25 00:00:00 | N/A
BUY | 0.0002 | $62880.66 | $722.93 | 2024-08-26 00:00:00 | N/A
BUY | 0.0002 | $59504.13 | $708.47 | 2024-08-27 00:00:00 | N/A
SHORT | 0.0002 | $59027.62 | $722.64 | 2024-08-28 00:00:00 | N/A
SHORT | 0.0002 | $59388.18 | $737.09 | 2024-08-29 00:00:00 | N/A
SHORT | 0.0002 | $59119.48 | $751.84 | 2024-08-30 00:00:00 | N/A
SHORT | 0.0003 | $58969.90 | $766.87 | 2024-08-31 00:00:00 | N/A
SHORT | 0.0003 | $57325.49 | $782.21 | 2024-09-01 00:00:00 | N/A
SHORT | 0.0003 | $59112.48 | $797.85 | 2024-09-02 00:00:00 | N/A
SHORT | 0.0003 | $57431.02 | $813.81 | 2024-09-03 00:00:00 | N/A
SHORT | 0.0003 | $57971.54 | $830.09 | 2024-09-04 00:00:00 | N/A
SHORT | 0.0003 | $56160.49 | $846.69 | 2024-09-05 00:00:00 | N/A
SHORT | 0.0003 | $53948.75 | $863.62 | 2024-09-06 00:00:00 | N/A
SHORT | 0.0003 | $54139.69 | $880.89 | 2024-09-07 00:00:00 | N/A
SHORT | 0.0003 | $54841.57 | $898.51 | 2024-09-08 00:00:00 | N/A
SHORT | 0.0003 | $57019.54 | $916.48 | 2024-09-09 00:00:00 | N/A
SHORT | 0.0003 | $57648.71 | $934.81 | 2024-09-10 00:00:00 | N/A
SHORT | 0.0003 | $57343.17 | $953.51 | 2024-09-11 00:00:00 | N/A
SHORT | 0.0003 | $58127.01 | $972.58 | 2024-09-12 00:00:00 | N/A
SHORT | 0.0003 | $60571.30 | $992.03 | 2024-09-13 00:00:00 | N/A
SHORT | 0.0003 | $60005.12 | $1011.87 | 2024-09-14 00:00:00 | N/A
SHORT | 0.0003 | $59182.84 | $1032.11 | 2024-09-15 00:00:00 | N/A
SHORT | 0.0004 | $58192.51 | $1052.75 | 2024-09-16 00:00:00 | N/A
SHORT | 0.0003 | $60308.54 | $1073.81 | 2024-09-17 00:00:00 | N/A
SHORT | 0.0003 | $61649.68 | $1095.28 | 2024-09-18 00:00:00 | N/A
SELL | 0.0058 | $62940.46 | $1463.02 | 2024-09-19 00:00:00 | $0.00
SHORT | 0.0005 | $60837.01 | $1492.28 | 2024-10-01 00:00:00 | N/A
SHORT | 0.0005 | $60632.79 | $1522.12 | 2024-10-02 00:00:00 | N/A
SHORT | 0.0005 | $60759.40 | $1552.56 | 2024-10-03 00:00:00 | N/A
SHORT | 0.0005 | $62067.48 | $1583.61 | 2024-10-04 00:00:00 | N/A
SHORT | 0.0005 | $62089.95 | $1615.29 | 2024-10-05 00:00:00 | N/A
SHORT | 0.0005 | $62818.95 | $1647.59 | 2024-10-06 00:00:00 | N/A
SHORT | 0.0005 | $62236.66 | $1680.54 | 2024-10-07 00:00:00 | N/A
SHORT | 0.0005 | $62131.97 | $1714.16 | 2024-10-08 00:00:00 | N/A
SHORT | 0.0006 | $60582.10 | $1748.44 | 2024-10-09 00:00:00 | N/A
SHORT | 0.0006 | $60274.50 | $1783.41 | 2024-10-10 00:00:00 | N/A
SHORT | 0.0006 | $62445.09 | $1819.08 | 2024-10-11 00:00:00 | N/A
